Publication Status	Publikationsstatus
Rough draft	Rohfassung
Self-reviewed draft	Selbst überarbeitete Entwurf
Community-reviewed draft	Gemeinschaft-Review Entwurf
Consultant approved	Berater genehmigt
Finished (no formal publication)	Fertig (keine offizielle Publikation)
Formally published 	Formell veröffentlicht
