Publication Status	Статус словаря
Rough draft	Первый черновик
Self-reviewed draft	Редактируется издателем
Community-reviewed draft	Редактируется сообществом
Consultant approved	Одобрен консультантом
Finished (no formal publication)	Закончен (не опубликован)
Formally published 	Официально опубликован
