Publication Status	प्रकाशन स्थिति
Rough draft	खेस्रा
Self-reviewed draft	स्व-समीक्षित खेस्रा
Community-reviewed draft	समूदाय समीक्षित खेस्रा
Consultant approved	परामर्शदाताद्वारा अनुमोदित
Finished (no formal publication)	सम्पन्‍न (अप्रकाशित)
Formally published 	प्रकाशित
