Publication Status	Status Penerbitan
Rough draft	Konsep awal
Self-reviewed draft	Konsep diteliti tim penyusun
Community-reviewed draft	Konsep ditinjau Lingkungan masyarakat
Consultant approved	Konsep disahkan konsultan
Finished (no formal publication)	Selesai (belum Diterbitkan)
Formally published 	Diterbitkan secara resmi
